circuit_id,circuit_name,city,country,track_length_km,year_opened,seating_capacity,number_of_turns,drs_zones,lap_record_seconds,lap_record_year,altitude_meters,surface_type,circuit_type,pit_lane_length_m,avg_temp_min_c,avg_temp_max_c,avg_top_speed_kmh,fia_grade,total_gp_hosted,tv_viewers_millions,ticket_price_usd,safety_car_freq,overtake_index,night_race,primary_engine_supplier,primary_broadcast_lang,pit_boxes,marshal_post_count,total_race_dist_km,elevation_change_m
24376732,Mugello Circuit,Mugello,Italy,5.893,1988,418980,25,2,109.678,2019,1141,Asphalt,Street,269,5,42,298,1,66,14.6,1708,0.394,8.9,1,Ferrari,DE,10,17,418.4,37
21058757,Circuit de Monaco,Monte Carlo,Monaco,3.988,2007,409890,10,1,101.682,2010,1709,Asphalt,Hybrid,410,23,32,266,2,67,4.63,2980,0.098,4.52,0,Alfa Romeo,PT,26,34,311.06,107
24473266,Circuit de Spa-Francorchamps,Spa,Belgium,6.598,2009,350432,9,1,76.891,2014,255,Asphalt,Street,465,3,22,360,1,75,6.48,710,0.622,8.83,0,Ferrari,ZH,12,29,461.86,131
28309585,Albert Park Circuit - Revised 2020,Melbourne,Australia,5.035,1987,149665,23,4,89.312,2016,1653,Asphalt,Street,355,21,35,319,1,25,8.7,40,0.762,2.67,0,Renault,FR,11,14,246.72,219
21358098,Marina Bay Street Circuit,Singapore,Singapore,5.063,1996,372953,17,3,66.563,2021,836,Asphalt,Permanent,305,10,34,320,2,59,3.8,925,0.046,8.94,0,Mercedes,ZH,21,30,273.4,167
26172859,Circuit of the Americas,Austin,USA,4.928,1987,152284,12,2,81.638,2021,2399,Asphalt,Permanent,457,28,32,339,3,74,9.65,1288,0.106,3.9,1,Alfa Romeo,IT,8,18,369.6,182
29875817,Magny-Cours - Short Circuit,Magny-Cours,France,4.904,1956,48476,21,2,113.34,2023,2051,Asphalt,Permanent,201,15,40,367,1,67,13.55,378,0.633,7.83,1,Honda,PT,23,33,372.7,158
27068833,Nürburgring,Nürburg,Germany,5.205,1973,218450,16,1,115.722,2015,467,Asphalt,Permanent,395,27,23,385,1,55,4.64,2229,0.621,4.53,0,Renault,EN,11,23,307.1,203
24257071,Circuit de Spa-Francorchamps,Spa,Belgium,7.773,1993,364402,15,2,107.684,2015,1313,Asphalt,Permanent,469,6,30,355,1,34,8.31,59,0.115,6.77,1,Mercedes,ES,8,35,443.06,48
23273332,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,6.822,1968,407299,13,3,111.005,2012,712,Mixed,Street,257,12,31,297,1,43,0.59,3465,0.701,0.84,1,Honda,AR,9,20,347.92,37
25140691,Marina Bay Street Circuit - Endurance Config,Singapore,Singapore,5.834,1978,100792,20,2,103.923,2010,51,Asphalt,Permanent,456,4,47,328,1,63,13.05,2349,0.509,7.7,1,Alfa Romeo,JA,22,25,449.22,153
26708439,Circuit de Barcelona-Catalunya,Barcelona,Spain,4.211,1964,227418,8,1,85.775,2023,2304,Asphalt,Permanent,473,18,25,353,1,63,9.49,1328,0.306,7.1,0,Ferrari,JA,8,31,311.61,25
27263608,Silverstone Circuit - Alt Chicane,Silverstone,UK,6.231,2020,300137,22,2,65.984,2020,1506,Asphalt,Permanent,371,28,50,311,1,71,2.57,3122,0.366,9.1,0,Alfa Romeo,NL,20,18,324.01,194
28620532,Circuit of the Americas,Austin,USA,5.496,2016,66639,16,2,112.799,2023,431,Concrete,Permanent,415,1,25,282,2,55,13.43,2237,0.533,2.64,0,Honda,JA,13,34,247.32,187
27197092,Circuit de Spa-Francorchamps - Endurance Config,Spa,Belgium,7.606,1999,157708,14,2,96.427,2012,706,Asphalt,Permanent,458,5,39,362,1,81,5.51,1440,0.081,6.49,0,Ferrari,ZH,20,29,425.94,134
27024779,Autodromo Hermanos Rodriguez,Mexico City,Mexico,4.286,1963,242882,18,4,95.334,2019,1843,Concrete,Street,292,6,21,300,1,78,8.83,361,0.58,9.06,0,Mercedes,FR,13,14,334.31,26
23516398,Circuit de Barcelona-Catalunya - Revised 2020,Barcelona,Spain,4.077,2006,136194,10,1,93.991,2015,1194,Asphalt,Street,325,19,21,280,1,34,4.77,3238,0.036,6.44,0,Renault,PT,12,21,273.16,92
