circuit_id,circuit_name,city,country,track_length_km,year_opened,seating_capacity,number_of_turns,drs_zones,lap_record_seconds,lap_record_year,altitude_meters,surface_type,circuit_type,pit_lane_length_m,avg_temp_min_c,avg_temp_max_c,avg_top_speed_kmh,fia_grade,total_gp_hosted,tv_viewers_millions,ticket_price_usd,safety_car_freq,overtake_index,night_race,primary_engine_supplier,primary_broadcast_lang,pit_boxes,marshal_post_count,total_race_dist_km,elevation_change_m,turns_per_km,elevation_intensity,pit_stop_overhead_sec,track_speed_category
24376732,Mugello Circuit,Mugello,Italy,5.893,1988,418980,25,2,109.678,2019,1141,Asphalt,Street,269,5,42,298,1,66,14.6,1708,0.394,8.9,1,Ferrari,DE,10,17,418.4,37,4.242321398269133,6.278635669438317,14.605,Low Speed
21058757,Circuit de Monaco,Monte Carlo,Monaco,3.988,2007,409890,10,1,101.682,2010,1709,Asphalt,Hybrid,410,23,32,266,2,67,4.63,2980,0.098,4.52,0,Alfa Romeo,PT,26,34,311.06,107,2.507522567703109,26.83049147442327,20.95,Low Speed
24473266,Circuit de Spa-Francorchamps,Spa,Belgium,6.598,2009,350432,9,1,76.891,2014,255,Asphalt,Street,465,3,22,360,1,75,6.48,710,0.622,8.83,0,Ferrari,ZH,12,29,461.86,131,1.3640497120339496,19.854501364049714,23.425,High Speed
28309585,Albert Park Circuit - Revised 2020,Melbourne,Australia,5.035,1987,149665,23,4,89.312,2016,1653,Asphalt,Street,355,21,35,319,1,25,8.7,40,0.762,2.67,0,Renault,FR,11,14,246.72,219,4.568023833167825,43.49553128103277,18.475,Medium Speed
21358098,Marina Bay Street Circuit,Singapore,Singapore,5.063,1996,372953,17,3,66.563,2021,836,Asphalt,Permanent,305,10,34,320,2,59,3.8,925,0.046,8.94,0,Mercedes,ZH,21,30,273.4,167,3.3576930673513727,32.984396602804665,16.225,Medium Speed
26172859,Circuit of the Americas,Austin,USA,4.928,1987,152284,12,2,81.638,2021,2399,Asphalt,Permanent,457,28,32,339,3,74,9.65,1288,0.106,3.9,1,Alfa Romeo,IT,8,18,369.6,182,2.435064935064935,36.93181818181818,23.065,Medium Speed
29875817,Magny-Cours - Short Circuit,Magny-Cours,France,4.904,1956,48476,21,2,113.34,2023,2051,Asphalt,Permanent,201,15,40,367,1,67,13.55,378,0.633,7.83,1,Honda,PT,23,33,372.7,158,4.282218597063622,32.21859706362154,11.545,High Speed
27068833,Nürburgring,Nürburg,Germany,5.205,1973,218450,16,1,115.722,2015,467,Asphalt,Permanent,395,27,23,385,1,55,4.64,2229,0.621,4.53,0,Renault,EN,11,23,307.1,203,3.073967339097022,39.00096061479347,20.275000000000002,High Speed
24257071,Circuit de Spa-Francorchamps,Spa,Belgium,7.773,1993,364402,15,2,107.684,2015,1313,Asphalt,Permanent,469,6,30,355,1,34,8.31,59,0.115,6.77,1,Mercedes,ES,8,35,443.06,48,1.92975685063682,6.1752219220378235,23.605,High Speed
23273332,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,6.822,1968,407299,13,3,111.005,2012,712,Mixed,Street,257,12,31,297,1,43,0.59,3465,0.701,0.84,1,Honda,AR,9,20,347.92,37,1.9055995309293463,5.423629434183524,14.065000000000001,Low Speed
25140691,Marina Bay Street Circuit - Endurance Config,Singapore,Singapore,5.834,1978,100792,20,2,103.923,2010,51,Asphalt,Permanent,456,4,47,328,1,63,13.05,2349,0.509,7.7,1,Alfa Romeo,JA,22,25,449.22,153,3.428179636612959,26.225574220089133,23.02,Medium Speed
26708439,Circuit de Barcelona-Catalunya,Barcelona,Spain,4.211,1964,227418,8,1,85.775,2023,2304,Asphalt,Permanent,473,18,25,353,1,63,9.49,1328,0.306,7.1,0,Ferrari,JA,8,31,311.61,25,1.89978627404417,5.936832106388031,23.785,High Speed
27263608,Silverstone Circuit - Alt Chicane,Silverstone,UK,6.231,2020,300137,22,2,65.984,2020,1506,Asphalt,Permanent,371,28,50,311,1,71,2.57,3122,0.366,9.1,0,Alfa Romeo,NL,20,18,324.01,194,3.5307334296260633,31.134649333975286,19.195,Medium Speed
28620532,Circuit of the Americas,Austin,USA,5.496,2016,66639,16,2,112.799,2023,431,Concrete,Permanent,415,1,25,282,2,55,13.43,2237,0.533,2.64,0,Honda,JA,13,34,247.32,187,2.911208151382824,34.024745269286754,21.175,Low Speed
27197092,Circuit de Spa-Francorchamps - Endurance Config,Spa,Belgium,7.606,1999,157708,14,2,96.427,2012,706,Asphalt,Permanent,458,5,39,362,1,81,5.51,1440,0.081,6.49,0,Ferrari,ZH,20,29,425.94,134,1.8406521167499343,17.6176702603208,23.11,High Speed
27024779,Autodromo Hermanos Rodriguez,Mexico City,Mexico,4.286,1963,242882,18,4,95.334,2019,1843,Concrete,Street,292,6,21,300,1,78,8.83,361,0.58,9.06,0,Mercedes,FR,13,14,334.31,26,4.199720018665423,6.066262249183389,15.64,Medium Speed
23516398,Circuit de Barcelona-Catalunya - Revised 2020,Barcelona,Spain,4.077,2006,136194,10,1,93.991,2015,1194,Asphalt,Street,325,19,21,280,1,34,4.77,3238,0.036,6.44,0,Renault,PT,12,21,273.16,92,2.452783909737552,22.56561196958548,17.125,Low Speed
25916361,Imola Circuit,Imola,Italy,4.264,2010,372327,12,2,90.304,2017,1671,Asphalt,Oval,237,19,23,277,1,77,14.67,2142,0.203,1.88,0,Ferrari,DE,24,28,251.58,33,2.8142589118198873,7.73921200750469,13.165000000000001,Low Speed
21355122,Suzuka International Racing Course - Revised 2020,Suzuka,Japan,5.956,1982,40108,17,1,112.963,2010,394,Asphalt,Street,384,6,50,318,1,2,3.57,1277,0.193,5.41,0,Renault,JA,13,11,416.92,36,2.8542646071188713,6.044325050369375,19.78,Medium Speed
29867038,Magny-Cours - Reverse Layout,Magny-Cours,France,4.56,1952,20962,18,1,66.134,2017,940,Asphalt,Street,261,1,21,274,2,21,6.05,1469,0.582,6.5,0,Renault,JA,18,28,255.36,124,3.947368421052632,27.192982456140353,14.245000000000001,Low Speed
20572699,Portimao Circuit - Revised 2020,Portimao,Portugal,4.354,1996,210529,25,2,105.202,2009,565,Asphalt,Permanent,243,8,41,302,1,62,2.96,2232,0.47,7.28,0,Ferrari,JA,11,20,343.97,9,5.741846577859439,2.067064768029398,13.435,Medium Speed
24573416,Autodromo Hermanos Rodriguez - Short Circuit,Mexico City,Mexico,3.537,1993,66996,25,3,75.01,2018,332,Mixed,Permanent,491,11,39,356,1,20,8.71,3230,0.224,0.64,0,Alfa Romeo,NL,14,18,219.29,48,7.068136839129206,13.570822731128075,24.595000000000002,High Speed
27738296,Magny-Cours,Magny-Cours,France,4.411,1957,394049,12,1,107.565,2015,170,Asphalt,Permanent,411,6,39,311,2,72,3.95,2741,0.527,5.8,0,Ferrari,ES,19,16,282.3,171,2.720471548401723,38.76671956472455,20.995,Medium Speed
21173494,Estoril Circuit,Estoril,Portugal,3.654,1993,84355,17,1,70.642,2008,852,Concrete,Street,242,13,24,268,1,28,6.08,2732,0.426,2.74,0,Honda,IT,23,36,186.35,124,4.652435686918445,33.93541324575808,13.39,Low Speed
29417884,Autodromo Hermanos Rodriguez - Short Circuit,Mexico City,Mexico,3.536,2002,175135,7,3,96.31,2012,1234,Asphalt,Permanent,430,2,42,312,1,22,5.19,3272,0.022,8.16,0,Renault,DE,22,12,265.2,26,1.9796380090497738,7.352941176470588,21.85,Medium Speed
20252578,Magny-Cours - Historic Layout,Magny-Cours,France,4.497,1992,141979,20,1,102.696,2016,1391,Asphalt,Permanent,360,2,39,289,1,63,14.67,937,0.225,6.08,0,Renault,DE,12,19,247.33,211,4.447409384033801,46.920169001556594,18.7,Low Speed
21393883,Suzuka International Racing Course - Revised 2020,Suzuka,Japan,5.011,2002,227136,7,1,69.85,2011,1544,Concrete,Permanent,245,3,26,266,1,53,2.74,3125,0.764,6.84,0,Mercedes,IT,9,11,290.64,116,1.3969267611255238,23.14907204150868,13.525,Low Speed
29876210,Circuit de Spa-Francorchamps - Alt Chicane,Spa,Belgium,7.447,1955,406140,16,3,94.18,2023,1298,Asphalt,Street,265,24,30,300,1,21,4.83,108,0.733,5.82,0,Mercedes,FR,21,30,513.84,180,2.1485161810124884,24.170807036390492,14.425,Medium Speed
20117264,Silverstone Circuit,Silverstone,UK,5.491,2014,200509,6,2,107.266,2023,1042,Concrete,Permanent,239,4,21,314,3,65,8.45,3087,0.621,4.46,0,Mercedes,EN,18,32,241.6,169,1.092697140775815,30.777636131852123,13.255,Medium Speed
